УГРОЗЫ ЗАРАЗНЫХ БОЛЕЗНЕЙ ЖИВОТНЫХ В ЮЖНОМ ФЕДЕРАЛЬНОМ ОКРУГЕ (8 субъектов РФ)
По приказу Минсельхоза РФ №62 от 09.03.2011. Источники: fsvps.gov.ru, mcx.gov.ru, veterinary.arriah.ru, региональные ветуправления (2024-2026)

№;Категория;Болезнь;Вид животных;Этиология;Ростовская обл.;Краснодарский край;Республика Калмыкия;Волгоградская область;Астраханская область;Республика Крым;г. Севастополь;Республика Адыгея
15;Инфекционные болезни;Пастереллёз;КРС, МРС, Свиньи, Птица;Бактериальная;Высокая;Высокая;Высокая;Средняя;Высокая;Средняя;Низкая;Средняя
16;Инфекционные болезни;ИРТ;КРС;Вирусная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя
17;Инфекционные болезни;Вирусная диарея;КРС;Вирусная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя
18;Инфекционные болезни;Парагрипп-3;КРС;Вирусная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя
19;Инфекционные болезни;Лептоспироз;КРС, МРС, Свиньи;Бактериальная;Средняя;Средняя;Средняя;Средняя;Высокая;Средняя;Низкая;Средняя
20;Инфекционные болезни;Сальмонеллёз;КРС, МРС, Свиньи, Птица;Бактериальная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя
21;Инфекционные болезни;Листериоз;КРС, МРС, Пушные;Бактериальная;Низкая;Низкая;Средняя;Средняя;Средняя;Низкая;Низкая;Низкая
22;Инфекционные болезни;РРСС;Свиньи;Вирусная;Средняя;Средняя;Низкая;Средняя;Низкая;Средняя;Низкая;Низкая
23;Инфекционные болезни;Рожа свиней;Свиньи;Бактериальная;Низкая;Низкая;Низкая;Низкая;Низкая;Низкая;Низкая;Низкая
24;Инфекционные болезни;Паратуберкулёз;КРС, МРС;Бактериальная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя
25;Инфекционные болезни;Эшерихиоз;Телята, поросята;Бактериальная;Высокая;Высокая;Средняя;Средняя;Высокая;Средняя;Средняя;Средняя
26;Инфекционные болезни;Хламидиоз;КРС, МРС, Птица;Бактериальная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя
27;Инфекционные болезни;Микоплазмоз;Птица, КРС, Свиньи;Бактериальная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя
28;Инфекционные болезни;Болезнь Марека;Птица;Вирусная;Средняя;Средняя;Низкая;Низкая;Средняя;Средняя;Средняя;Средняя
29;Инфекционные болезни;Инфекционный бурсит (Гамборо);Птица;Вирусная;Средняя;Средняя;Низкая;Низкая;Средняя;Средняя;Средняя;Средняя
30;Инфекционные болезни;Оспа овец и коз;МРС;Вирусная;Средняя;Средняя;Высокая;Средняя;Высокая;Средняя;Низкая;Средняя
31;Инфекционные болезни;Энтеротоксемия;КРС, МРС;Бактериальная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя
32;Инвазионные болезни;Эхинококкоз;КРС, МРС, Собаки;Паразитарная;Средняя;Средняя;Высокая;Высокая;Высокая;Средняя;Низкая;Средняя
33;Инвазионные болезни;Трихинеллёз;Свиньи, Пушные;Паразитарная;Низкая;Низкая;Средняя;Средняя;Средняя;Низкая;Низкая;Низкая
34;Инвазионные болезни;Токсоплазмоз;КРС, МРС, Свиньи;Паразитарная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя
35;Инвазионные болезни;Пироплазмоз;КРС, Лошади, Собаки;Паразитарная;Средняя;Высокая;Высокая;Высокая;Высокая;Высокая;Средняя;Высокая
36;Инвазионные болезни;Анаплазмоз;КРС;Паразитарная;Средняя;Средняя;Высокая;Высокая;Высокая;Средняя;Низкая;Средняя
37;Инвазионные болезни;Тейлериоз;КРС;Паразитарная;Низкая;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя
38;Инвазионные болезни;Варроатоз;Пчёлы;Паразитарная;Высокая;Высокая;Средняя;Средняя;Высокая;Высокая;Средняя;Высокая
39;Инвазионные болезни;Нозематоз;Пчёлы;Паразитарная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя
40;Инвазионные болезни;Гиподерматоз;КРС;Паразитарная;Средняя;Средняя;Высокая;Высокая;Средняя;Средняя;Низкая;Средняя
41;Инвазионные болезни;Цистицеркозы;КРС, Свиньи;Паразитарная;Низкая;Низкая;Средняя;Средняя;Низкая;Низкая;Низкая;Низкая
42;Инвазионные болезни;Трихомоноз;КРС;Паразитарная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя
43;Зооантропонозы;Сибирская язва;КРС, МРС, Лошади, Свиньи;Бактериальная;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Низкая;Низкая
44;Зооантропонозы;Бруцеллёз;КРС, МРС, Свиньи;Бактериальная;Высокая;Средняя;Высокая;Высокая;Высокая;Высокая;Средняя;Средняя
45;Зооантропонозы;Бешенство;Все виды;Вирусная;Высокая;Высокая;Высокая;Высокая;Высокая;Высокая;Средняя;Средняя
46;Зооантропонозы;Лептоспироз;КРС, МРС, Свиньи;Бактериальная;Средняя;Средняя;Средняя;Средняя;Высокая;Средняя;Низкая;Средняя
47;Зооантропонозы;Сальмонеллёз;КРС, МРС, Свиньи, Птица;Бактериальная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя
48;Зооантропонозы;Листериоз;КРС, МРС, Пушные;Бактериальная;Низкая;Низкая;Средняя;Средняя;Средняя;Низкая;Низкая;Низкая
49;Зооантропонозы;Токсоплазмоз;КРС, МРС, Свиньи;Паразитарная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя
50;Зооантропонозы;Эхинококкоз;КРС, МРС, Собаки;Паразитарная;Средняя;Средняя;Высокая;Высокая;Высокая;Средняя;Низкая;Средняя
51;Зооантропонозы;Трихинеллёз;Свиньи, Пушные;Паразитарная;Низкая;Низкая;Средняя;Средняя;Средняя;Низкая;Низкая;Низкая
52;Зооантропонозы;Туляремия;КРС, МРС, Пушные;Бактериальная;Средняя;Средняя;Средняя;Высокая;Высокая;Средняя;Низкая;Средняя
53;Зооантропонозы;Лихорадка Ку;КРС, МРС;Бактериальная;Низкая;Низкая;Средняя;Средняя;Низкая;Низкая;Низкая;Низкая
54;Зооантропонозы;Хламидиоз;КРС, МРС, Птица;Бактериальная;Средняя;Средняя;Средняя;Средняя;Средняя;Средняя;Низкая;Средняя

УСЛОВНЫЕ ОБОЗНАЧЕНИЯ:
Высокая;Зарегистрированы очаги в последние 2 года, активная эпизоотическая ситуация, карантинные мероприятия
Средняя;Периодическая регистрация, спорадические случаи, природные предпосылки к распространению
Низкая;Единичные случаи или отсутствие регистрации, эффективный контроль
